generation,best_risk,feasible_fraction,target,k,mode
0,737,0.13,50,3,GPR
1,260,0.3,50,3,GPR
2,260,0.58,50,3,GPR
3,260,0.85,50,3,GPR
4,260,0.83,50,3,GPR
5,260,0.9,50,3,GPR
6,260,0.89,50,3,GPR
7,260,0.92,50,3,GPR
8,260,0.93,50,3,GPR
9,260,0.88,50,3,GPR
10,260,0.92,50,3,GPR
11,260,0.83,50,3,GPR
12,260,0.89,50,3,GPR
13,260,0.94,50,3,GPR
14,260,0.97,50,3,GPR
15,260,0.93,50,3,GPR
16,260,0.91,50,3,GPR
17,260,0.93,50,3,GPR
18,260,0.95,50,3,GPR
19,260,0.88,50,3,GPR
20,260,0.91,50,3,GPR
21,260,0.91,50,3,GPR
22,260,0.93,50,3,GPR
23,260,0.93,50,3,GPR
24,260,0.9,50,3,GPR
25,260,0.9,50,3,GPR
26,260,0.91,50,3,GPR
27,260,0.91,50,3,GPR
28,260,0.94,50,3,GPR
29,260,0.92,50,3,GPR
30,260,0.9,50,3,GPR
31,260,0.94,50,3,GPR
32,260,0.95,50,3,GPR
33,260,0.88,50,3,GPR
34,260,0.94,50,3,GPR
35,260,0.96,50,3,GPR
36,260,0.96,50,3,GPR
37,260,0.93,50,3,GPR
38,260,0.95,50,3,GPR
39,260,0.93,50,3,GPR
40,260,0.94,50,3,GPR
41,260,0.94,50,3,GPR
42,260,0.96,50,3,GPR
43,260,0.94,50,3,GPR
44,260,0.94,50,3,GPR
45,260,0.91,50,3,GPR
46,260,0.93,50,3,GPR
47,260,0.9,50,3,GPR
48,260,0.88,50,3,GPR
49,260,0.9,50,3,GPR
50,260,0.92,50,3,GPR
0,674,0.07,50,4,GPR
1,647,0.17,50,4,GPR
2,647,0.32,50,4,GPR
3,638,0.54,50,4,GPR
4,638,0.66,50,4,GPR
5,638,0.85,50,4,GPR
6,638,0.85,50,4,GPR
7,638,0.79,50,4,GPR
8,638,0.85,50,4,GPR
9,638,0.85,50,4,GPR
10,638,0.88,50,4,GPR
11,638,0.85,50,4,GPR
12,638,0.83,50,4,GPR
13,638,0.83,50,4,GPR
14,638,0.86,50,4,GPR
15,620,0.93,50,4,GPR
16,620,0.88,50,4,GPR
17,620,0.86,50,4,GPR
18,620,0.83,50,4,GPR
19,620,0.9,50,4,GPR
20,620,0.91,50,4,GPR
21,620,0.88,50,4,GPR
22,620,0.92,50,4,GPR
23,620,0.85,50,4,GPR
24,620,0.85,50,4,GPR
25,620,0.83,50,4,GPR
26,620,0.88,50,4,GPR
27,620,0.92,50,4,GPR
28,620,0.89,50,4,GPR
29,620,0.88,50,4,GPR
30,620,0.89,50,4,GPR
31,620,0.9,50,4,GPR
32,620,0.94,50,4,GPR
33,620,0.84,50,4,GPR
34,620,0.87,50,4,GPR
35,620,0.88,50,4,GPR
36,620,0.9,50,4,GPR
37,620,0.89,50,4,GPR
38,620,0.87,50,4,GPR
39,620,0.94,50,4,GPR
40,620,0.85,50,4,GPR
41,611,0.86,50,4,GPR
42,611,0.9,50,4,GPR
43,611,0.89,50,4,GPR
44,611,0.86,50,4,GPR
45,611,0.86,50,4,GPR
46,611,0.92,50,4,GPR
47,611,0.86,50,4,GPR
48,611,0.85,50,4,GPR
49,611,0.83,50,4,GPR
50,611,0.9,50,4,GPR
0,566,0.02,50,5,GPR
1,566,0.03,50,5,GPR
2,548,0.06,50,5,GPR
3,548,0.14,50,5,GPR
4,548,0.36,50,5,GPR
5,548,0.51,50,5,GPR
6,548,0.69,50,5,GPR
7,548,0.74,50,5,GPR
8,548,0.81,50,5,GPR
9,548,0.84,50,5,GPR
10,548,0.81,50,5,GPR
11,548,0.85,50,5,GPR
12,548,0.87,50,5,GPR
13,548,0.84,50,5,GPR
14,548,0.87,50,5,GPR
15,548,0.84,50,5,GPR
16,548,0.85,50,5,GPR
17,548,0.83,50,5,GPR
18,548,0.84,50,5,GPR
