outer_fold,model,feature,gain
3,t13,z18,36.8529710309
3,t13,z21,263.203823222
3,t13,zx,8.91081150064
3,t13,x,1270.37255582
3,t13,gc13,393.518060226
3,t13,gc18,93.3410358438
3,t13,gc21,154.073618158
3,t13,filtered,229.633621394
3,t13,ivf,0
3,t13,pregnancies,0.690855026245
3,t13,parity,80.0138217403
3,t18,age,38.106098175
3,t18,height,6.21725804351e-15
3,t18,weight,200.942298889
3,t18,bmi,32.3396987915
3,t18,week,516.242354418
3,t18,reads,72.1578998566
3,t18,mapping,145.447998047
3,t18,duplicate,0
3,t18,unique_reads,0
3,t18,unique_ratio,242.117683707
3,t18,gc,299.45963404
3,t18,z13,185.596294403
3,t18,z18,584.866408348
3,t18,z21,0
3,t18,zx,140.917999268
3,t18,x,2871.52247429
3,t18,gc13,591.078692436
3,t18,gc18,0
3,t18,gc21,203.122750762
3,t18,filtered,65.4988994598
3,t18,ivf,0
3,t18,pregnancies,81.9482547226
3,t18,parity,0
3,t21,age,17180.5157166
3,t21,height,247.580001831
3,t21,weight,0
3,t21,bmi,1.77635599237e-15
3,t21,week,932.265148006
3,t21,reads,6.66134000064e-16
3,t21,mapping,8.88177996184e-16
3,t21,duplicate,1938.75929269
3,t21,unique_reads,114.812097549
3,t21,unique_ratio,1.47170003402e-05
3,t21,gc,75.5263004303
3,t21,z13,2.22273993131e-05
3,t21,z18,0
3,t21,z21,295.45098877
3,t21,zx,537.873497009
3,t21,x,167.331407202
3,t21,gc13,0
3,t21,gc18,1.10016999315e-05
3,t21,gc21,9.36889955483e-06
3,t21,filtered,373.427001953
3,t21,ivf,0
3,t21,pregnancies,26.5186004639
3,t21,parity,1490.04003906
3,interaction,age,18.7691001892
3,interaction,height,0
3,interaction,weight,9.04030021052e-05
3,interaction,bmi,53.5937995911
3,interaction,week,2023.50205432
3,interaction,reads,108.880074746
3,interaction,mapping,283.227689743
3,interaction,duplicate,0
3,interaction,unique_reads,47.465801239
3,interaction,unique_ratio,84.8773412666
3,interaction,gc,565.702448581
3,interaction,z13,0.00253536505625
3,interaction,z18,0
3,interaction,z21,439.725038586
3,interaction,zx,898.427441572
3,interaction,x,19.1604995728
3,interaction,gc13,4779.27591489
3,interaction,gc18,0.00497026696523
3,interaction,gc21,0.000651058991934
3,interaction,filtered,146.819046946
3,interaction,ivf,0
3,interaction,pregnancies,0
3,interaction,parity,0
