generation,best_risk,feasible_fraction,target,k,mode
1,2670,0.35,95,3,paper_history
2,2670,0.65,95,3,paper_history
3,2670,0.8,95,3,paper_history
4,2670,0.88,95,3,paper_history
5,2670,0.87,95,3,paper_history
6,2670,0.88,95,3,paper_history
7,2670,0.88,95,3,paper_history
8,2670,0.92,95,3,paper_history
9,2670,0.93,95,3,paper_history
10,2670,0.96,95,3,paper_history
11,2670,0.95,95,3,paper_history
12,2670,0.94,95,3,paper_history
13,2670,0.91,95,3,paper_history
14,2670,0.9,95,3,paper_history
15,2670,0.94,95,3,paper_history
16,2670,0.89,95,3,paper_history
17,2670,0.97,95,3,paper_history
18,2670,0.86,95,3,paper_history
19,2670,0.93,95,3,paper_history
20,2670,0.92,95,3,paper_history
21,2670,0.96,95,3,paper_history
22,2670,0.9,95,3,paper_history
23,2670,0.92,95,3,paper_history
24,2670,0.93,95,3,paper_history
25,2670,0.92,95,3,paper_history
26,2670,0.93,95,3,paper_history
27,2670,0.94,95,3,paper_history
28,2670,0.85,95,3,paper_history
29,2670,0.9,95,3,paper_history
30,2670,0.83,95,3,paper_history
31,2670,0.94,95,3,paper_history
32,2670,0.87,95,3,paper_history
33,2670,0.88,95,3,paper_history
34,2670,0.87,95,3,paper_history
35,2670,0.94,95,3,paper_history
36,2670,0.94,95,3,paper_history
37,2670,0.93,95,3,paper_history
38,2670,0.91,95,3,paper_history
39,2670,0.97,95,3,paper_history
40,2670,0.93,95,3,paper_history
41,2670,0.91,95,3,paper_history
42,2670,0.93,95,3,paper_history
43,2670,0.82,95,3,paper_history
44,2670,0.9,95,3,paper_history
45,2670,0.94,95,3,paper_history
46,2670,0.88,95,3,paper_history
47,2670,0.92,95,3,paper_history
48,2670,0.93,95,3,paper_history
49,2670,0.97,95,3,paper_history
50,2670,0.94,95,3,paper_history
0,215000520,0.24,99,3,paper_history
1,215000520,0.52,99,3,paper_history
2,215000520,0.83,99,3,paper_history
3,212000550,0.9,99,3,paper_history
4,212000550,0.82,99,3,paper_history
5,212000550,0.9,99,3,paper_history
6,212000550,0.86,99,3,paper_history
7,212000550,0.94,99,3,paper_history
8,212000550,0.91,99,3,paper_history
9,212000550,0.88,99,3,paper_history
10,212000550,0.89,99,3,paper_history
11,208000590,0.94,99,3,paper_history
12,208000590,0.94,99,3,paper_history
13,208000590,0.88,99,3,paper_history
14,208000590,0.94,99,3,paper_history
15,208000590,0.94,99,3,paper_history
16,208000590,0.92,99,3,paper_history
17,208000590,0.96,99,3,paper_history
18,208000590,0.92,99,3,paper_history
19,208000590,0.93,99,3,paper_history
20,208000590,0.92,99,3,paper_history
21,208000590,0.9,99,3,paper_history
22,208000590,0.96,99,3,paper_history
23,208000590,0.86,99,3,paper_history
24,208000590,0.94,99,3,paper_history
25,208000590,0.91,99,3,paper_history
26,208000590,0.95,99,3,paper_history
27,208000590,0.89,99,3,paper_history
28,208000590,0.94,99,3,paper_history
29,208000590,0.94,99,3,paper_history
30,208000590,0.9,99,3,paper_history
31,208000590,0.93,99,3,paper_history
32,208000590,0.95,99,3,paper_history
33,208000590,0.9,99,3,paper_history
34,208000590,0.94,99,3,paper_history
35,208000590,0.84,99,3,paper_history
36,208000590,0.93,99,3,paper_history
37,208000590,0.92,99,3,paper_history
38,208000590,0.94,99,3,paper_history
39,208000590,0.9,99,3,paper_history
40,208000590,0.95,99,3,paper_history
41,208000590,0.97,99,3,paper_history
42,208000590,0.9,99,3,paper_history
43,208000590,0.97,99,3,paper_history
44,208000590,0.97,99,3,paper_history
45,208000590,0.93,99,3,paper_history
46,208000590,0.88,99,3,paper_history
47,208000590,0.89,99,3,paper_history
48,208000590,0.95,99,3,paper_history
49,208000590,0.87,99,3,paper_history
50,208000590,0.91,99,3,paper_history
0,267,0.16,50,3,static_interval
1,267,0.34,50,3,static_interval
2,267,0.65,50,3,static_interval
3,267,0.88,50,3,static_interval
4,267,0.81,50,3,static_interval
5,267,0.89,50,3,static_interval
6,267,0.89,50,3,static_interval
7,267,0.92,50,3,static_interval
8,267,0.93,50,3,static_interval
9,267,0.89,50,3,static_interval
10,267,0.96,50,3,static_interval
11,267,0.92,50,3,static_interval
12,267,0.93,50,3,static_interval
13,267,0.94,50,3,static_interval
14,267,0.97,50,3,static_interval
15,267,0.94,50,3,static_interval
16,267,0.91,50,3,static_interval
17,267,0.93,50,3,static_interval
18,267,0.95,50,3,static_interval
19,267,0.89,50,3,static_interval
20,267,0.92,50,3,static_interval
21,267,0.92,50,3,static_interval
22,267,0.94,50,3,static_interval
23,267,0.94,50,3,static_interval
24,267,0.89,50,3,static_interval
25,267,0.91,50,3,static_interval
26,267,0.9,50,3,static_interval
27,267,0.91,50,3,static_interval
28,267,0.93,50,3,static_interval
29,267,0.93,50,3,static_interval
30,267,0.89,50,3,static_interval
31,267,0.94,50,3,static_interval
32,267,0.93,50,3,static_interval
33,267,0.88,50,3,static_interval
34,267,0.92,50,3,static_interval
35,267,0.93,50,3,static_interval
36,267,0.94,50,3,static_interval
37,267,0.93,50,3,static_interval
38,267,0.93,50,3,static_interval
39,267,0.93,50,3,static_interval
40,267,0.92,50,3,static_interval
41,267,0.92,50,3,static_interval
42,267,0.96,50,3,static_interval
43,267,0.96,50,3,static_interval
44,267,0.94,50,3,static_interval
45,267,0.89,50,3,static_interval
46,267,0.92,50,3,static_interval
47,267,0.91,50,3,static_interval
48,267,0.86,50,3,static_interval
49,267,0.91,50,3,static_interval
50,267,0.92,50,3,static_interval
0,1335,0.18,75,3,static_interval
1,1335,0.35,75,3,static_interval
2,1335,0.67,75,3,static_interval
3,1335,0.88,75,3,static_interval
4,1335,0.88,75,3,static_interval
5,1335,0.88,75,3,static_interval
6,1335,0.93,75,3,static_interval
7,1335,0.88,75,3,static_interval
8,1335,0.91,75,3,static_interval
9,1335,0.93,75,3,static_interval
10,1335,0.88,75,3,static_interval
11,1335,0.86,75,3,static_interval
12,1335,0.93,75,3,static_interval
13,1335,0.82,75,3,static_interval
14,1335,0.92,75,3,static_interval
15,1335,0.93,75,3,static_interval
16,1335,0.91,75,3,static_interval
17,1335,0.92,75,3,static_interval
18,1335,0.92,75,3,static_interval
19,1335,0.85,75,3,static_interval
20,1335,0.95,75,3,static_interval
21,1335,0.9,75,3,static_interval
22,1335,0.89,75,3,static_interval
23,1335,0.88,75,3,static_interval
24,1335,0.91,75,3,static_interval
25,1335,0.87,75,3,static_interval
26,1335,0.92,75,3,static_interval
27,1335,0.95,75,3,static_interval
28,1335,0.96,75,3,static_interval
29,1335,0.84,75,3,static_interval
30,1335,0.89,75,3,static_interval
31,1335,0.93,75,3,static_interval
32,1335,0.88,75,3,static_interval
33,1335,0.94,75,3,static_interval
34,1335,0.91,75,3,static_interval
35,1335,0.9,75,3,static_interval
36,1335,0.91,75,3,static_interval
37,1335,0.96,75,3,static_interval
38,1335,0.96,75,3,static_interval
39,1335,0.87,75,3,static_interval
40,1335,0.91,75,3,static_interval
41,1335,0.97,75,3,static_interval
42,1335,0.93,75,3,static_interval
43,1335,0.94,75,3,static_interval
44,1335,0.93,75,3,static_interval
45,1335,0.96,75,3,static_interval
46,1335,0.93,75,3,static_interval
47,1335,0.94,75,3,static_interval
48,1335,0.99,75,3,static_interval
49,1335,0.93,75,3,static_interval
50,1335,0.9,75,3,static_interval
0,1335,0.2,90,3,static_interval
1,1335,0.45,90,3,static_interval
2,1335,0.71,90,3,static_interval
3,1335,0.91,90,3,static_interval
4,1335,0.92,90,3,static_interval
5,1335,0.87,90,3,static_interval
6,1335,0.91,90,3,static_interval
7,1335,0.88,90,3,static_interval
8,1335,0.92,90,3,static_interval
9,1335,0.92,90,3,static_interval
10,1335,0.87,90,3,static_interval
11,1335,0.93,90,3,static_interval
12,1335,0.93,90,3,static_interval
13,1335,0.93,90,3,static_interval
14,1335,0.88,90,3,static_interval
15,1335,0.89,90,3,static_interval
16,1335,0.93,90,3,static_interval
17,1335,0.91,90,3,static_interval
18,1335,0.94,90,3,static_interval
19,1335,0.92,90,3,static_interval
20,1335,0.92,90,3,static_interval
21,1335,0.97,90,3,static_interval
22,1335,0.92,90,3,static_interval
23,1335,0.95,90,3,static_interval
24,1335,0.88,90,3,static_interval
25,1335,0.94,90,3,static_interval
26,1335,0.9,90,3,static_interval
27,1335,0.91,90,3,static_interval
28,1335,0.91,90,3,static_interval
29,1335,0.92,90,3,static_interval
30,1335,0.96,90,3,static_interval
31,1335,0.91,90,3,static_interval
32,1335,0.9,90,3,static_interval
33,1335,0.89,90,3,static_interval
34,1335,0.93,90,3,static_interval
35,1335,0.92,90,3,static_interval
36,1335,0.91,90,3,static_interval
37,1335,0.85,90,3,static_interval
38,1335,0.9,90,3,static_interval
39,1335,0.91,90,3,static_interval
40,1335,0.97,90,3,static_interval
41,1335,0.92,90,3,static_interval
42,1335,0.94,90,3,static_interval
43,1335,0.91,90,3,static_interval
44,1335,0.92,90,3,static_interval
45,1335,0.91,90,3,static_interval
46,1335,0.91,90,3,static_interval
47,1335,0.92,90,3,static_interval
48,1335,0.92,90,3,static_interval
49,1335,0.86,90,3,static_interval
50,1335,0.9,90,3,static_interval
0,1335,0.17,95,3,static_interval
1,1335,0.35,95,3,static_interval
2,1335,0.65,95,3,static_interval
3,1335,0.8,95,3,static_interval
4,1335,0.88,95,3,static_interval
5,1335,0.87,95,3,static_interval
6,1335,0.88,95,3,static_interval
7,1335,0.88,95,3,static_interval
8,1335,0.92,95,3,static_interval
9,1335,0.93,95,3,static_interval
10,1335,0.96,95,3,static_interval
11,1335,0.95,95,3,static_interval
12,1335,0.94,95,3,static_interval
13,1335,0.91,95,3,static_interval
14,1335,0.9,95,3,static_interval
15,1335,0.94,95,3,static_interval
16,1335,0.89,95,3,static_interval
17,1335,0.97,95,3,static_interval
18,1335,0.86,95,3,static_interval
19,1335,0.93,95,3,static_interval
20,1335,0.92,95,3,static_interval
21,1335,0.96,95,3,static_interval
22,1335,0.9,95,3,static_interval
23,1335,0.92,95,3,static_interval
24,1335,0.93,95,3,static_interval
25,1335,0.92,95,3,static_interval
26,1335,0.93,95,3,static_interval
27,1335,0.94,95,3,static_interval
28,1335,0.85,95,3,static_interval
29,1335,0.9,95,3,static_interval
30,1335,0.83,95,3,static_interval
31,1335,0.94,95,3,static_interval
32,1335,0.87,95,3,static_interval
