outer_fold,model,trial,log_loss,params,refit_estimators
1,interaction,7,0.141847819936,"{""is_unbalance"": true, ""learning_rate"": 0.07497482147792427, ""n_estimators"": 500, ""num_leaves"": 67}",2
1,interaction,8,0.122799522421,"{""is_unbalance"": true, ""learning_rate"": 0.028340217355554132, ""n_estimators"": 500, ""num_leaves"": 145}",4
1,interaction,9,0.120328992982,"{""is_unbalance"": true, ""learning_rate"": 0.03020239252348672, ""n_estimators"": 500, ""num_leaves"": 16}",5
1,interaction,10,0.120130730564,"{""is_unbalance"": true, ""learning_rate"": 0.011712494307100543, ""n_estimators"": 500, ""num_leaves"": 92}",12
1,interaction,11,0.120084139016,"{""is_unbalance"": true, ""learning_rate"": 0.015712195808355388, ""n_estimators"": 500, ""num_leaves"": 95}",13
1,meta,0,1.25876147706,"{""learning_rate"": 0.132111083999355, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 117}",500
1,meta,1,1.28721013359,"{""learning_rate"": 0.1259488731514693, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 109}",500
1,meta,2,1.21886355167,"{""learning_rate"": 0.05635620366464043, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 123}",500
1,meta,3,1.24580742498,"{""learning_rate"": 0.06901931086064769, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 93}",500
1,meta,4,1.22951897742,"{""learning_rate"": 0.05587260570693725, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 183}",500
1,meta,5,1.2628234724,"{""learning_rate"": 0.12184609837911248, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 67}",500
1,meta,6,1.26787612211,"{""learning_rate"": 0.1846243318419547, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 39}",500
1,meta,7,1.0207488434,"{""learning_rate"": 0.018251197917264032, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 26}",500
1,meta,8,0.877007355121,"{""learning_rate"": 0.015216363615909155, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 81}",500
1,meta,9,1.21783232945,"{""learning_rate"": 0.06104920311189851, ""max_depth"": 10, ""n_estimators"": 500, ""num_leaves"": 196}",500
1,meta,10,1.27364235185,"{""learning_rate"": 0.19387415654955364, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 172}",500
1,meta,11,1.10224977319,"{""learning_rate"": 0.03692834702191578, ""max_depth"": 3, ""n_estimators"": 500, ""num_leaves"": 36}",500
1,meta,12,0.845739610514,"{""learning_rate"": 0.010660553192490341, ""max_depth"": 8, ""n_estimators"": 500, ""num_leaves"": 21}",500
1,meta,13,1.18415911169,"{""learning_rate"": 0.037564309616940746, ""max_depth"": 4, ""n_estimators"": 500, ""num_leaves"": 81}",500
1,meta,14,0.850205160924,"{""learning_rate"": 0.011294887859983324, ""max_depth"": 7, ""n_estimators"": 500, ""num_leaves"": 141}",500
1,meta,15,0.870772024321,"{""learning_rate"": 0.013185747508737782, ""max_depth"": 5, ""n_estimators"": 500, ""num_leaves"": 143}",500
1,meta,16,0.952521731983,"{""learning_rate"": 0.015303013142795202, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 116}",500
1,meta,17,1.096408943,"{""learning_rate"": 0.02230774602317307, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 161}",500
1,meta,18,1.16194112195,"{""learning_rate"": 0.03006739722488171, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 197}",500
1,meta,19,1.21140647664,"{""learning_rate"": 0.054172668254280146, ""max_depth"": 8, ""n_estimators"": 500, ""num_leaves"": 31}",500
2,t13,0,0.148002730158,"{""is_unbalance"": true, ""learning_rate"": 0.03797468197807198, ""n_estimators"": 500, ""num_leaves"": 125}",4
2,t13,1,0.148715200371,"{""is_unbalance"": true, ""learning_rate"": 0.04012773621143726, ""n_estimators"": 500, ""num_leaves"": 37}",3
2,t13,2,0.146720197661,"{""is_unbalance"": true, ""learning_rate"": 0.019928199254734037, ""n_estimators"": 500, ""num_leaves"": 145}",5
2,t13,3,0.160788034085,"{""is_unbalance"": true, ""learning_rate"": 0.0878542526564322, ""n_estimators"": 500, ""num_leaves"": 130}",2
2,t13,4,0.138637597045,"{""is_unbalance"": true, ""learning_rate"": 0.01715599288918533, ""n_estimators"": 500, ""num_leaves"": 117}",3
2,t13,5,0.159897124747,"{""is_unbalance"": true, ""learning_rate"": 0.08741739476302145, ""n_estimators"": 500, ""num_leaves"": 33}",1
2,t13,6,0.154913651138,"{""is_unbalance"": true, ""learning_rate"": 0.06906752730394966, ""n_estimators"": 500, ""num_leaves"": 62}",1
2,t13,7,0.160379540288,"{""is_unbalance"": true, ""learning_rate"": 0.08356948471718036, ""n_estimators"": 500, ""num_leaves"": 139}",4
2,t13,8,0.137713226129,"{""is_unbalance"": true, ""learning_rate"": 0.024689818889857374, ""n_estimators"": 500, ""num_leaves"": 127}",5
2,t13,9,0.151470762242,"{""is_unbalance"": true, ""learning_rate"": 0.049855402773062676, ""n_estimators"": 500, ""num_leaves"": 149}",1
2,t13,10,0.165654172855,"{""is_unbalance"": true, ""learning_rate"": 0.09693713688168329, ""n_estimators"": 500, ""num_leaves"": 100}",2
2,t13,11,0.148059990505,"{""is_unbalance"": true, ""learning_rate"": 0.010223606959740027, ""n_estimators"": 500, ""num_leaves"": 92}",6
2,t18,0,0.246316774993,"{""is_unbalance"": true, ""learning_rate"": 0.09271981286192638, ""n_estimators"": 500, ""num_leaves"": 100}",8
2,t18,1,0.251083842773,"{""is_unbalance"": true, ""learning_rate"": 0.07783410067562592, ""n_estimators"": 500, ""num_leaves"": 29}",3
2,t18,2,0.245841544529,"{""is_unbalance"": true, ""learning_rate"": 0.017858759319064006, ""n_estimators"": 500, ""num_leaves"": 121}",9
2,t18,3,0.245563530873,"{""is_unbalance"": true, ""learning_rate"": 0.039353584333104, ""n_estimators"": 500, ""num_leaves"": 86}",14
2,t18,4,0.244740501238,"{""is_unbalance"": true, ""learning_rate"": 0.031621165828120544, ""n_estimators"": 500, ""num_leaves"": 86}",24
2,t18,5,0.24555678449,"{""is_unbalance"": true, ""learning_rate"": 0.046049905331190036, ""n_estimators"": 500, ""num_leaves"": 110}",6
2,t18,6,0.249776513958,"{""is_unbalance"": true, ""learning_rate"": 0.08530119469730754, ""n_estimators"": 500, ""num_leaves"": 92}",5
2,t18,7,0.241518897911,"{""is_unbalance"": true, ""learning_rate"": 0.03665391076300237, ""n_estimators"": 500, ""num_leaves"": 49}",14
2,t18,8,0.24777079846,"{""is_unbalance"": true, ""learning_rate"": 0.07350375201916864, ""n_estimators"": 500, ""num_leaves"": 69}",13
2,t18,9,0.244752132449,"{""is_unbalance"": true, ""learning_rate"": 0.015158438672248555, ""n_estimators"": 500, ""num_leaves"": 115}",10
2,t18,10,0.246986782218,"{""is_unbalance"": true, ""learning_rate"": 0.01642832906076283, ""n_estimators"": 500, ""num_leaves"": 29}",9
2,t18,11,0.2431638824,"{""is_unbalance"": true, ""learning_rate"": 0.03526986508357174, ""n_estimators"": 500, ""num_leaves"": 34}",14
2,t21,0,0.114782551184,"{""is_unbalance"": true, ""learning_rate"": 0.014336310475021392, ""n_estimators"": 500, ""num_leaves"": 106}",1
2,t21,1,0.15553243085,"{""is_unbalance"": true, ""learning_rate"": 0.08188264611134216, ""n_estimators"": 500, ""num_leaves"": 122}",14
2,t21,2,0.169751079708,"{""is_unbalance"": true, ""learning_rate"": 0.09687675251406346, ""n_estimators"": 500, ""num_leaves"": 72}",25
2,t21,3,0.159017724273,"{""is_unbalance"": true, ""learning_rate"": 0.08481113889047634, ""n_estimators"": 500, ""num_leaves"": 44}",25
2,t21,4,0.114829683363,"{""is_unbalance"": true, ""learning_rate"": 0.014525009029893161, ""n_estimators"": 500, ""num_leaves"": 78}",1
2,t21,5,0.141814525841,"{""is_unbalance"": true, ""learning_rate"": 0.06852139782655899, ""n_estimators"": 500, ""num_leaves"": 139}",9
2,t21,6,0.148634197127,"{""is_unbalance"": true, ""learning_rate"": 0.07648606241410635, ""n_estimators"": 500, ""num_leaves"": 44}",13
2,t21,7,0.142161489564,"{""is_unbalance"": true, ""learning_rate"": 0.05662298511085351, ""n_estimators"": 500, ""num_leaves"": 103}",1
2,t21,8,0.124251789588,"{""is_unbalance"": true, ""learning_rate"": 0.036351848248582806, ""n_estimators"": 500, ""num_leaves"": 133}",1
2,t21,9,0.161283912755,"{""is_unbalance"": true, ""learning_rate"": 0.0894761696387507, ""n_estimators"": 500, ""num_leaves"": 88}",25
2,t21,10,0.114666929554,"{""is_unbalance"": true, ""learning_rate"": 0.010326631189817605, ""n_estimators"": 500, ""num_leaves"": 27}",1
2,t21,11,0.114863084591,"{""is_unbalance"": true, ""learning_rate"": 0.011766253893970728, ""n_estimators"": 500, ""num_leaves"": 36}",1
2,interaction,0,0.114316568484,"{""is_unbalance"": true, ""learning_rate"": 0.05506013137063431, ""n_estimators"": 500, ""num_leaves"": 75}",2
2,interaction,1,0.114322624204,"{""is_unbalance"": true, ""learning_rate"": 0.055070427307800915, ""n_estimators"": 500, ""num_leaves"": 31}",2
2,interaction,2,0.146021328113,"{""is_unbalance"": true, ""learning_rate"": 0.08382501422374736, ""n_estimators"": 500, ""num_leaves"": 55}",1
2,interaction,3,0.143774949246,"{""is_unbalance"": true, ""learning_rate"": 0.0801256597396672, ""n_estimators"": 500, ""num_leaves"": 124}",1
2,interaction,4,0.0982163608307,"{""is_unbalance"": true, ""learning_rate"": 0.011332204955323666, ""n_estimators"": 500, ""num_leaves"": 42}",6
2,interaction,5,0.131695346647,"{""is_unbalance"": true, ""learning_rate"": 0.0740558417874671, ""n_estimators"": 500, ""num_leaves"": 125}",31
2,interaction,6,0.136708216641,"{""is_unbalance"": true, ""learning_rate"": 0.08139929280771617, ""n_estimators"": 500, ""num_leaves"": 79}",51
2,interaction,7,0.118775065587,"{""is_unbalance"": true, ""learning_rate"": 0.060451722589303925, ""n_estimators"": 500, ""num_leaves"": 82}",1
2,interaction,8,0.101178542694,"{""is_unbalance"": true, ""learning_rate"": 0.035831199586046344, ""n_estimators"": 500, ""num_leaves"": 36}",2
2,interaction,9,0.103792998274,"{""is_unbalance"": true, ""learning_rate"": 0.040690507216523064, ""n_estimators"": 500, ""num_leaves"": 47}",3
2,interaction,10,0.0993660046582,"{""is_unbalance"": true, ""learning_rate"": 0.023080329859969217, ""n_estimators"": 500, ""num_leaves"": 97}",4
2,interaction,11,0.0992464638314,"{""is_unbalance"": true, ""learning_rate"": 0.012632838448207555, ""n_estimators"": 500, ""num_leaves"": 78}",6
2,meta,0,0.792865201253,"{""learning_rate"": 0.038104918626136096, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 61}",11
2,meta,1,0.796035695456,"{""learning_rate"": 0.0667101693526158, ""max_depth"": 9, ""n_estimators"": 500, ""num_leaves"": 53}",6
2,meta,2,0.801987091114,"{""learning_rate"": 0.087033509337429, ""max_depth"": 6, ""n_estimators"": 500, ""num_leaves"": 200}",6
