sigma_y,repeat,target,group,n_all,n_censored,observed_quantile,coverage_at_gpr_week,method
0.002,52,90,3,67,3,22,0.835820895522,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,95,2,102,2,18.8571428571,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,95,3,89,3,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,99,2,134,3,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,52,99,3,70,3,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,50,1,65,0,12.7142857143,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,50,3,140,6,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,75,1,83,1,13.7142857143,0.590361445783,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,75,3,95,4,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,90,1,139,1,16.7142857143,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,90,2,61,2,16.2857142857,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,90,3,67,4,22,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,95,1,76,1,21.2857142857,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,95,2,102,2,20.1428571429,0.901960784314,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,95,3,89,4,26.4285714286,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,99,2,134,3,inf,0.917910447761,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,53,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,50,3,140,6,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,75,2,89,2,13.4285714286,0.662921348315,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,75,3,95,4,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,90,1,139,1,16.4285714286,0.870503597122,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,90,2,61,2,16.2857142857,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,90,3,67,4,22,0.850746268657,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,95,2,102,2,20.1428571429,0.911764705882,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,95,3,89,4,26.4285714286,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,99,2,134,3,inf,0.925373134328,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,54,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,50,2,62,2,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,75,2,89,3,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,75,3,95,5,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,90,1,139,2,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,95,1,76,1,23.1428571429,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,95,2,102,3,17.8571428571,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,99,1,63,0,26.1428571429,0.952380952381,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,99,2,134,4,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,55,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,50,3,140,7,13,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,75,2,89,2,13.7142857143,0.651685393258,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,75,3,95,5,13.8571428571,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,90,2,61,3,18.8571428571,0.83606557377,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,95,2,102,2,20.5714285714,0.892156862745,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,99,2,134,4,inf,0.910447761194,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,56,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,50,2,62,0,12.5714285714,0.145161290323,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,50,3,140,6,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,75,1,83,0,13.5714285714,0.590361445783,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,75,3,95,4,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,90,1,139,0,16.1428571429,0.892086330935,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,90,2,61,2,16.5714285714,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,95,1,76,0,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,95,2,102,2,18.8571428571,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,95,3,89,4,26.4285714286,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,99,2,134,2,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,57,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,50,3,140,8,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,75,1,83,1,13.8571428571,0.55421686747,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,75,2,89,2,13.7142857143,0.651685393258,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,75,3,95,6,15.5714285714,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,90,1,139,1,16.4285714286,0.856115107914,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,90,2,61,3,16.5714285714,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,90,3,67,5,24,0.835820895522,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,95,2,102,2,18.8571428571,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,95,3,89,6,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,99,2,134,4,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,58,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,50,2,62,2,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,75,2,89,3,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,75,3,95,5,15.5714285714,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,90,1,139,2,16.2857142857,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,90,2,61,2,15.1428571429,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,95,2,102,3,20.1428571429,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,99,2,134,4,inf,0.925373134328,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,59,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,50,3,140,5,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,75,2,89,2,13.7142857143,0.640449438202,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,75,3,95,3,13.8571428571,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,90,1,139,1,16.4285714286,0.870503597122,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,90,2,61,2,18.8571428571,0.83606557377,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,90,3,67,3,22,0.835820895522,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,95,2,102,2,19.4285714286,0.911764705882,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,95,3,89,3,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,99,2,134,3,inf,0.925373134328,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,60,99,3,70,3,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,75,2,89,2,13.7142857143,0.640449438202,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,75,3,95,5,13.8571428571,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,90,1,139,1,16.5714285714,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,90,2,61,2,18.8571428571,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,95,2,102,2,20.1428571429,0.872549019608,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,99,2,134,3,inf,0.902985074627,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,61,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,50,2,62,2,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,50,3,140,6,13,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,75,2,89,3,13.7142857143,0.640449438202,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,75,3,95,4,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,90,1,139,2,16.5714285714,0.848920863309,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,90,2,61,2,16.2857142857,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,90,3,67,4,23.4285714286,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,95,2,102,3,20.1428571429,0.892156862745,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,95,3,89,4,26.4285714286,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,99,2,134,4,inf,0.917910447761,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,62,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,50,1,65,0,12.7142857143,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,50,2,62,1,12.5714285714,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,50,3,140,6,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,75,1,83,1,13.5714285714,0.590361445783,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,75,2,89,2,13.2857142857,0.696629213483,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,75,3,95,4,15.5714285714,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,90,1,139,1,16.2857142857,0.884892086331,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,90,3,67,4,23.4285714286,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,95,2,102,2,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,95,3,89,4,26.4285714286,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,63,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,75,2,89,2,13.7142857143,0.640449438202,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,75,3,95,5,15.5714285714,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,90,2,61,3,16.5714285714,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,90,3,67,4,23.4285714286,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,95,2,102,2,20.1428571429,0.892156862745,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,99,2,134,4,inf,0.917910447761,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,64,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,50,2,62,1,12.5714285714,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,50,3,140,8,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,75,2,89,2,13.4285714286,0.696629213483,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,75,3,95,6,15.5714285714,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,90,1,139,1,16.4285714286,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,90,2,61,3,15.1428571429,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,90,3,67,5,24,0.805970149254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,95,2,102,2,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,95,3,89,6,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,99,2,134,4,inf,0.94776119403,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,65,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,50,3,140,7,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,75,2,89,2,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,75,3,95,5,15.5714285714,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,90,1,139,1,16.2857142857,0.884892086331,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,90,2,61,2,15.5714285714,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,95,2,102,2,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,66,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,50,3,140,7,13.1428571429,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,75,2,89,2,13.7142857143,0.651685393258,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,75,3,95,5,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,90,2,61,3,16.2857142857,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,95,2,102,2,19.4285714286,0.911764705882,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,99,2,134,4,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,67,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,50,3,140,5,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,75,3,95,3,16,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,90,2,61,2,15.5714285714,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,90,3,67,3,22,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,95,1,76,1,23.1428571429,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,95,2,102,2,17.8571428571,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,95,3,89,3,24,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,99,1,63,0,26.1428571429,0.952380952381,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,68,99,3,70,3,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,50,3,140,7,13,0.207142857143,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,75,2,89,2,13.4285714286,0.662921348315,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,75,3,95,5,13.8571428571,0.726315789474,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,90,1,139,1,16.4285714286,0.870503597122,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,95,1,76,1,21.2857142857,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,95,2,102,2,17.8571428571,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,95,3,89,5,inf,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,69,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,50,3,140,7,13,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,75,1,83,1,13.7142857143,0.55421686747,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,75,2,89,2,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,75,3,95,5,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,90,1,139,1,16.4285714286,0.870503597122,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,70,90,2,61,2,16.2857142857,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
