sigma_y,repeat,target,group,n_all,n_censored,observed_quantile,coverage_at_gpr_week,method
0.002,3,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,50,3,140,6,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,75,1,83,1,13.7142857143,0.566265060241,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,75,3,95,4,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,90,2,61,2,15.1428571429,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,95,2,102,2,17.8571428571,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,95,3,89,4,26.4285714286,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,3,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,50,3,140,8,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,75,1,83,1,13.7142857143,0.55421686747,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,75,2,89,2,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,75,3,95,6,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,90,2,61,3,15.1428571429,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,95,2,102,2,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,95,3,89,6,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,99,2,134,4,inf,0.94776119403,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,4,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,50,3,140,5,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,75,2,89,2,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,75,3,95,3,13.8571428571,0.715789473684,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,90,1,139,1,16.4285714286,0.870503597122,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,90,3,67,3,22,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,95,1,76,1,21.2857142857,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,95,2,102,2,17.8571428571,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,95,3,89,3,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,99,2,134,3,inf,0.940298507463,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,5,99,3,70,3,inf,0.942857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,50,1,65,0,12.7142857143,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,50,3,140,7,13.1428571429,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,75,1,83,1,13.5714285714,0.590361445783,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,75,2,89,2,13.7142857143,0.651685393258,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,75,3,95,5,16,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,90,1,139,1,16.4285714286,0.877697841727,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,90,2,61,3,16.2857142857,0.852459016393,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,90,3,67,4,23.4285714286,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,95,1,76,1,23.1428571429,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,95,2,102,2,20.5714285714,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,95,3,89,5,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,99,1,63,0,26.1428571429,0.952380952381,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,99,2,134,4,inf,0.932835820896,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,6,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,50,3,140,5,12.8571428571,0.207142857143,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,75,2,89,2,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,75,3,95,3,13.8571428571,0.726315789474,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,90,2,61,2,14,0.901639344262,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,90,3,67,3,22,0.850746268657,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,95,1,76,1,21.2857142857,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,95,2,102,2,18.8571428571,0.921568627451,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,7,95,3,89,3,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
