策略,接受光伏预报时刻,购电决策时刻,初始计划费,增购费,减购退费,减购违约费,紧急购电费,正式期实际总费,紧急购电量,未利用有效购电量,弃光量,执行时净负荷诊断MAE,净负荷0.8分位数覆盖率,净负荷情景包络覆盖率,2月1日初始储电量,12月31日末储电量
四次决策主方案,"0,6,12,18","0,6,12,18",13322286.272873,630025.106406,29006.513493,14503.256747,444995.749996,14382803.872527,81993.764419,322305.549666,1789484.834733,59.992236,0.769794,0.488502,5967.514799,5894.577132
仅0点预报,0,0,13411716.427602,0.000000,0.000000,0.000000,1892212.881327,15303929.308929,310096.712717,382313.681998,1679866.579298,60.823594,0.771291,0.495467,5992.486736,5894.577132
仅18点日内更新,"0,18","0,18",13322261.296263,433596.054643,4872.690195,2436.345098,666313.815647,14419734.821455,127785.132514,319775.257081,1632703.978409,60.094136,0.769960,0.488128,5967.514799,5894.577132
