口径,说明,计划购电量（kWh）,紧急购电量（kWh）,弃光量（kWh）,未利用购电量（kWh）,充电总量（kWh）,放电总量（kWh）,购电费（元）,相对 L0 差额（元）,相对 L0 差额（%）,年末储电量（kWh）,可实施性
L0 因果滚动实际执行,问题二正式方案：按日因果预测、0:00 冻结购电量、日内滚动调整储能,21995777.119647,133094.790429,1442532.478287,1538423.392894,6363318.999883,5154629.963785,13988636.221577,0.000000,0.000000,5620.474641,可实施（正式答案）
L1 全知日预测同策略,仅把逐日预测替换为当日实测，策略结构、约束与终端条件完全一致,20218209.247345,0.000000,990168.090312,0.000000,6786074.502891,5497260.347341,12244796.854916,-1743839.366661,-12.466114,5400.000000,不可实施（信息越界）
L2 全知全局联合优化（年末区间）,整段联合优化，仅保留年末储电量区间；完美信息下的全局最优，作为理论下界,20189186.245749,0.000000,990168.090312,0.000000,6633321.862913,5373530.708960,12230133.590315,-1758502.631262,-12.570937,5400.000000,不可实施（理论下界）
L2′ 全知全局联合优化（末态固定）,与 L2 相同，但年末储电量固定为因果方案实际末态 5620.474641 kWh,20189431.217581,0.000000,990168.090312,0.000000,6633566.834783,5373530.708997,12230237.384876,-1758398.836701,-12.570195,5620.474641,不可实施（理论下界）
