策略,接受光伏预报时刻,购电决策时刻,初始计划费,增购费,减购退费,减购违约费,紧急购电费,正式期实际总费,紧急购电量,未利用有效购电量,弃光量,执行时净负荷诊断MAE,净负荷0.8分位数覆盖率,净负荷情景包络覆盖率,2月1日初始储电量,12月31日末储电量
四次决策主方案,"0,6,12,18","0,6,12,18",12639168.190177,617266.206052,27338.578817,13669.289408,404153.806868,13646918.913688,78674.288808,351185.845569,1778176.793146,59.992236,0.769794,0.488502,5967.514799,5809.717500
仅0点预报,0,0,12748477.216075,0.000000,0.000000,0.000000,1838048.592129,14586525.808204,309407.572400,436646.742509,1657021.367219,60.998574,0.771291,0.495966,5980.079863,5802.486816
更新预报、购电冻结,"0,6,12,18",0,12739432.336694,0.000000,0.000000,0.000000,1835328.828350,14574761.165044,309125.150291,427664.318138,1652377.835748,60.775971,0.771665,0.495114,5980.079863,5802.486816
仅6点日内更新,"0,6","0,6",12640435.743775,204147.136777,11781.407383,5890.703692,1521234.592408,14359926.769268,249700.536255,324004.538159,1723684.808306,59.973109,0.769170,0.488086,5917.413219,5802.486816
仅12点日内更新,"0,12","0,12",12640213.061638,224142.277396,12902.017965,6451.008982,1329782.691141,14187687.021192,232723.523606,331013.578358,1713335.833409,60.147747,0.770085,0.488169,5913.572997,5802.486816
仅18点日内更新,"0,18","0,18",12639164.399899,448958.091515,5228.331395,2614.165697,583120.790516,13668629.116232,117924.476948,348296.258002,1606066.691773,60.094136,0.769960,0.488128,5967.514799,5809.717500
