指标,全知视角（完美预见）,因果滚动模型,差额（因果−全知）,相对差（%）,单位,备注
计划购电费,12241228.517471,13342127.615605,1100899.098134,8.251301,元,差额为正表示因果滚动模型高于全知视角
紧急购电费,0.000000,930568.701378,930568.701378,100.000000,元,差额为正表示因果滚动模型高于全知视角
334 天总费用,12241228.517471,14272696.316983,2031467.799512,14.233245,元,差额为正表示因果滚动模型高于全知视角
计划购电总量,20210421.636692,21873248.235717,1662826.599025,7.602102,kWh,差额为正表示因果滚动模型高于全知视角
紧急购电总量,0.000000,209639.388521,209639.388521,100.000000,kWh,差额为正表示因果滚动模型高于全知视角
弃光总量,990168.090312,2453602.447026,1463434.356714,59.644314,kWh,差额为正表示因果滚动模型高于全知视角
紧急购电 10 分钟时段数,0.000000,7540.000000,7540.000000,100.000000,个,差额为正表示因果滚动模型高于全知视角
