类别,校验项,数值,单位,结论
价格参数选择,2025-10-04价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049813
价格参数选择,2025-10-05价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048931
价格参数选择,2025-10-06价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.048519
价格参数选择,2025-10-07价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.048329
价格参数选择,2025-10-08价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.048275
价格参数选择,2025-10-09价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.047222
价格参数选择,2025-10-10价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.046122
价格参数选择,2025-10-11价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.047475
价格参数选择,2025-10-12价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.047281
价格参数选择,2025-10-13价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.047411
价格参数选择,2025-10-14价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.047124
价格参数选择,2025-10-15价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.046927
价格参数选择,2025-10-16价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.046538
价格参数选择,2025-10-17价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.046476
价格参数选择,2025-10-18价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047085
价格参数选择,2025-10-19价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.046872
价格参数选择,2025-10-20价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047218
价格参数选择,2025-10-21价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047340
价格参数选择,2025-10-22价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047891
价格参数选择,2025-10-23价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047725
价格参数选择,2025-10-24价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047180
价格参数选择,2025-10-25价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047580
价格参数选择,2025-10-26价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047543
价格参数选择,2025-10-27价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.047255
价格参数选择,2025-10-28价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.046673
价格参数选择,2025-10-29价格候选,水平0.25-0.25-0.25-0.25×形态7天,历史验证28天,加权MAE=0.046089
价格参数选择,2025-10-30价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.046386
价格参数选择,2025-10-31价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045461
价格参数选择,2025-11-01价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045103
价格参数选择,2025-11-02价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044868
价格参数选择,2025-11-03价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044637
价格参数选择,2025-11-04价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044922
价格参数选择,2025-11-05价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044304
价格参数选择,2025-11-06价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043974
价格参数选择,2025-11-07价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044305
价格参数选择,2025-11-08价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045034
价格参数选择,2025-11-09价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044881
价格参数选择,2025-11-10价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045131
价格参数选择,2025-11-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045743
价格参数选择,2025-11-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045153
价格参数选择,2025-11-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044348
价格参数选择,2025-11-14价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043716
价格参数选择,2025-11-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043441
价格参数选择,2025-11-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043485
价格参数选择,2025-11-17价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043305
价格参数选择,2025-11-18价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042895
价格参数选择,2025-11-19价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043261
价格参数选择,2025-11-20价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042805
价格参数选择,2025-11-21价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042392
价格参数选择,2025-11-22价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042598
价格参数选择,2025-11-23价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042634
价格参数选择,2025-11-24价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042493
价格参数选择,2025-11-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041535
价格参数选择,2025-11-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041323
价格参数选择,2025-11-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041400
价格参数选择,2025-11-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041229
价格参数选择,2025-11-29价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041372
价格参数选择,2025-11-30价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041316
价格参数选择,2025-12-01价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041816
价格参数选择,2025-12-02价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045948
价格参数选择,2025-12-03价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049917
价格参数选择,2025-12-04价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053049
价格参数选择,2025-12-05价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055360
价格参数选择,2025-12-06价格候选,水平1×形态7天,历史验证28天,加权MAE=0.058491
价格参数选择,2025-12-07价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060669
价格参数选择,2025-12-08价格候选,水平1×形态7天,历史验证28天,加权MAE=0.062074
价格参数选择,2025-12-09价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060381
价格参数选择,2025-12-10价格候选,水平1×形态7天,历史验证28天,加权MAE=0.058717
价格参数选择,2025-12-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.057325
价格参数选择,2025-12-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055440
价格参数选择,2025-12-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054993
价格参数选择,2025-12-14价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054483
价格参数选择,2025-12-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053327
价格参数选择,2025-12-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.052380
价格参数选择,2025-12-17价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050551
价格参数选择,2025-12-18价格候选,水平1×形态7天,历史验证28天,加权MAE=0.049272
价格参数选择,2025-12-19价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048093
价格参数选择,2025-12-20价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048389
价格参数选择,2025-12-21价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048293
价格参数选择,2025-12-22价格候选,水平1×形态7天,历史验证28天,加权MAE=0.047511
价格参数选择,2025-12-23价格候选,水平1×形态7天,历史验证28天,加权MAE=0.046499
价格参数选择,2025-12-24价格候选,水平1×形态7天,历史验证28天,加权MAE=0.045344
价格参数选择,2025-12-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044178
价格参数选择,2025-12-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043328
价格参数选择,2025-12-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043752
价格参数选择,2025-12-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044047
价格参数选择,2025-12-29价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043318
价格参数选择,2025-12-30价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042280
价格参数选择,2025-12-31价格候选,水平1×形态7天,历史验证28天,加权MAE=0.040941
