类别,校验项,数值,单位,结论
价格参数选择,2025-02-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044840
价格参数选择,2025-02-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044183
价格参数选择,2025-02-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043501
价格参数选择,2025-02-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042888
价格参数选择,2025-03-01价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043635
价格参数选择,2025-03-02价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043933
价格参数选择,2025-03-03价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044470
价格参数选择,2025-03-04价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044294
价格参数选择,2025-03-05价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043037
价格参数选择,2025-03-06价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041659
价格参数选择,2025-03-07价格候选,水平1×形态7天,历史验证28天,加权MAE=0.040564
价格参数选择,2025-03-08价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041611
价格参数选择,2025-03-09价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042804
价格参数选择,2025-03-10价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042809
价格参数选择,2025-03-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043077
价格参数选择,2025-03-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.042575
价格参数选择,2025-03-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.041946
价格参数选择,2025-03-14价格候选,水平1×形态14天,历史验证28天,加权MAE=0.041929
价格参数选择,2025-03-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.043654
价格参数选择,2025-03-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.044133
价格参数选择,2025-03-17价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043402
价格参数选择,2025-03-18价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043914
价格参数选择,2025-03-19价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042937
价格参数选择,2025-03-20价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042027
价格参数选择,2025-03-21价格候选,水平1×形态14天,历史验证28天,加权MAE=0.041567
价格参数选择,2025-03-22价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043746
价格参数选择,2025-03-23价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044613
价格参数选择,2025-03-24价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043908
价格参数选择,2025-03-25价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042967
价格参数选择,2025-03-26价格候选,水平1×形态14天,历史验证28天,加权MAE=0.041925
价格参数选择,2025-03-27价格候选,水平1×形态14天,历史验证28天,加权MAE=0.041295
价格参数选择,2025-03-28价格候选,水平1×形态14天,历史验证28天,加权MAE=0.040520
价格参数选择,2025-03-29价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042744
价格参数选择,2025-03-30价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044864
价格参数选择,2025-03-31价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043852
价格参数选择,2025-04-01价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043432
价格参数选择,2025-04-02价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043778
价格参数选择,2025-04-03价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043577
价格参数选择,2025-04-04价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042701
价格参数选择,2025-04-05价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044522
价格参数选择,2025-04-06价格候选,水平1×形态14天,历史验证28天,加权MAE=0.045362
价格参数选择,2025-04-07价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044187
价格参数选择,2025-04-08价格候选,水平1×形态14天,历史验证28天,加权MAE=0.043292
价格参数选择,2025-04-09价格候选,水平1×形态14天,历史验证28天,加权MAE=0.042554
价格参数选择,2025-04-10价格候选,水平1×形态21天,历史验证28天,加权MAE=0.042370
价格参数选择,2025-04-11价格候选,水平1×形态21天,历史验证28天,加权MAE=0.041690
价格参数选择,2025-04-12价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044193
价格参数选择,2025-04-13价格候选,水平1×形态14天,历史验证28天,加权MAE=0.044904
价格参数选择,2025-04-14价格候选,水平1×形态21天,历史验证28天,加权MAE=0.044714
价格参数选择,2025-04-15价格候选,水平1×形态21天,历史验证28天,加权MAE=0.043472
价格参数选择,2025-04-16价格候选,水平1×形态21天,历史验证28天,加权MAE=0.043100
价格参数选择,2025-04-17价格候选,水平1×形态21天,历史验证28天,加权MAE=0.042768
价格参数选择,2025-04-18价格候选,水平1×形态21天,历史验证28天,加权MAE=0.041826
价格参数选择,2025-04-19价格候选,水平1×形态21天,历史验证28天,加权MAE=0.042894
价格参数选择,2025-04-20价格候选,水平1×形态21天,历史验证28天,加权MAE=0.044401
价格参数选择,2025-04-21价格候选,水平1×形态21天,历史验证28天,加权MAE=0.043662
价格参数选择,2025-04-22价格候选,水平1×形态21天,历史验证28天,加权MAE=0.042767
价格参数选择,2025-04-23价格候选,水平1×形态21天,历史验证28天,加权MAE=0.042106
价格参数选择,2025-04-24价格候选,水平1×形态21天,历史验证28天,加权MAE=0.041842
价格参数选择,2025-04-25价格候选,水平1×形态21天,历史验证28天,加权MAE=0.041453
价格参数选择,2025-04-26价格候选,水平1×形态21天,历史验证28天,加权MAE=0.043341
价格参数选择,2025-04-27价格候选,水平1×形态14天,历史验证28天,加权MAE=0.045672
价格参数选择,2025-04-28价格候选,水平1×形态21天,历史验证28天,加权MAE=0.044951
价格参数选择,2025-04-29价格候选,水平1×形态21天,历史验证28天,加权MAE=0.045575
价格参数选择,2025-04-30价格候选,水平1×形态21天,历史验证28天,加权MAE=0.045005
价格参数选择,2025-05-01价格候选,水平1×形态21天,历史验证28天,加权MAE=0.044920
价格参数选择,2025-05-02价格候选,水平1×形态21天,历史验证28天,加权MAE=0.044517
价格参数选择,2025-05-03价格候选,水平1×形态21天,历史验证28天,加权MAE=0.045647
价格参数选择,2025-05-04价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.046585
价格参数选择,2025-05-05价格候选,水平0.6-0.3-0.1×形态21天,历史验证28天,加权MAE=0.046006
